chr start stop
1 1 14894578
1 14894579 31642544
1 31642545 48480638
1 48480639 66171001
1 66171002 83131221
1 83131222 99425254
1 99425255 117033058
1 117033059 158907751
1 158907752 172465093
1 172465094 188934442
1 188934443 206328803
1 206328804 222575871
1 222575872 237131148
1 237131149 249240543
2 1 13927085
2 13927086 28674162
2 28674163 42336744
2 42336745 56503029
2 56503030 74199273
2 74199274 88024022
2 88024023 113477466
2 113477467 130617929
2 130617930 143927574
2 143927575 160517389
2 160517390 179243996
2 179243997 195125933
2 195125934 213552997
2 213552998 230068955
2 230068956 243185856
3 1 13214707
3 13214708 24645548
3 24645549 39742321
3 39742322 59234677
3 59234678 73807858
3 73807859 88141568
3 88141569 106400512
3 106400513 122859684
3 122859685 139384974
3 139384975 154076157
3 154076158 169193556
3 169193557 184319711
3 184319712 197962381
4 1 12324054
4 12324055 25867252
4 25867253 38203158
4 38203159 57635843
4 57635844 71470580
4 71470581 86930822
4 86930823 102705676
4 102705677 119932280
4 119932281 134112978
4 134112979 150683754
4 150683755 165472675
4 165472676 180310668
4 180310669 191043877
5 1 13466406
5 13466407 27809810
5 27809811 44045579
5 44045580 63217590
5 63217591 80484109
5 80484110 99259530
5 99259531 116091425
5 116091426 132006844
5 132006845 150562696
5 150562697 165642565
5 165642566 180790949
6 1 14138427
6 14138428 25815370
6 25815371 32682664
6 32682665 40779272
6 40779273 53892169
6 53892170 70360719
6 70360720 83151147
6 83151148 98896185
6 98896186 114220361
6 114220362 130053669
6 130053670 147483336
6 147483337 159322457
6 159322458 171053406
7 1 10383743
7 10383744 21863871
7 21863872 36634962
7 36634963 49632815
7 49632816 63686742
7 63686743 79760034
7 79760035 96616736
7 96616737 114923635
7 114923636 131303251
7 131303252 147754407
7 147754408 159127586
8 1 7888695
8 7888696 16793325
8 16793326 29328663
8 29328664 52933372
8 52933373 68679248
8 68679249 81957629
8 81957630 98875186
8 98875187 118182782
8 118182783 131958259
8 131958260 146303560
9 1 10360981
9 10360982 24722062
9 24722063 38371727
9 38371728 82119710
9 82119711 96485741
9 96485742 109984702
9 109984703 124870596
9 124870597 141124247
10 1 12492177
10 12492178 27205082
10 27205083 42372579
10 42372580 58809214
10 58809215 73235885
10 73235886 88763680
10 88763681 105246283
10 105246284 121876662
10 121876663 135524334
11 1 12564728
11 12564729 25819736
11 25819737 39681703
11 39681704 57221886
11 57221887 75026331
11 75026332 91405459
11 91405460 103493171
11 103493172 121425200
11 121425201 134946396
12 1 12252827
12 12252828 27530778
12 27530779 41695412
12 41695413 59309517
12 59309518 75194209
12 75194210 91278618
12 91278619 104919619
12 104919620 121820976
12 121820977 133841575
13 1 30687806
13 30687807 44638337
13 44638338 61971074
13 61971075 76243531
13 76243532 88191656
13 88191657 103997789
13 103997790 115108993
14 1 34278781
14 34278782 49005471
14 49005472 63763503
14 63763504 79027827
14 79027828 94986507
14 94986508 107289436
15 1 34659549
15 34659550 50709127
15 50709128 63017667
15 63017668 79529591
15 79529592 93367290
15 93367291 102521131
16 1 10336730
16 10336731 24371794
16 24371795 56347201
16 56347202 70696009
16 70696010 81265949
16 81265950 90292766
17 1 12239429
17 12239430 32681095
17 32681096 50343361
17 50343362 69244406
17 69244407 81185372
18 1 12739002
18 12739003 33793231
18 33793232 50152216
18 50152217 65939974
18 65939975 78017073
19 1 9231754
19 9231755 21008538
19 21008539 35696463
19 35696464 48701635
19 48701636 59118924
20 1 12633280
20 12633281 31700622
20 31700623 49595128
20 49595129 62963436
21 1 25090216
21 25090217 37310964
21 37310965 48119634
22 1 27118048
22 27118049 39860868
22 39860869 51240820
